#Analytic calculation at various loop orders
#The columns are 1) wavenumber, 2) linear theory, 3) 1 loop, 4) 2 loop, 5) 5 loop, 6) 10 loop, 7) 20 loop
#Initializing TFs
#KMIN = 1.01956e-05 500
#done!
#Sigma8 set: sNorm= 4.54581e-05
0.0166108 3.43445 3.26936 3.27372 3.27364 3.27364 3.27364 3.27513 3.44071 0.217307
0.0167769 3.48183 3.31141 3.31599 3.3159 3.3159 3.3159 3.31962 3.48768 0.224701
0.0169447 3.52945 3.35356 3.35838 3.35829 3.35829 3.35829 3.36447 3.53476 0.232311
0.0171141 3.57729 3.3958 3.40086 3.40076 3.40076 3.40076 3.40886 3.58194 0.240144
0.0172852 3.62531 3.43807 3.44339 3.44328 3.44328 3.44328 3.45201 3.62921 0.248204
0.0174581 3.67342 3.4803 3.48588 3.48577 3.48577 3.48577 3.49345 3.67657 0.256497
0.0176327 3.72155 3.5224 3.52827 3.52815 3.52815 3.52815 3.53313 3.724 0.265028
0.017809 3.76963 3.56431 3.57047 3.57034 3.57034 3.57034 3.57151 3.77148 0.273802
0.0179871 3.81761 3.60599 3.61245 3.61231 3.61231 3.61231 3.60945 3.81901 0.282825
0.018167 3.86551 3.64744 3.65422 3.65407 3.65407 3.65407 3.64801 3.86657 0.292103
0.0183486 3.91338 3.68872 3.69582 3.69567 3.69567 3.69567 3.68807 3.91415 0.301641
0.0185321 3.96129 3.72989 3.73734 3.73717 3.73717 3.73717 3.73012 3.96174 0.311445
0.0187174 4.00933 3.77103 3.77884 3.77866 3.77866 3.77866 3.774 4.00934 0.321523
0.0189046 4.05755 3.81218 3.82037 3.82018 3.82018 3.82018 3.8189 4.05694 0.331879
0.0190937 4.10594 3.85336 3.86193 3.86173 3.86173 3.86173 3.86359 4.10452 0.342521
0.0192846 4.15446 3.89449 3.90347 3.90326 3.90326 3.90326 3.9068 4.1521 0.353456
0.0194774 4.20301 3.9355 3.9449 3.94467 3.94467 3.94467 3.94762 4.19968 0.364692
0.0196722 4.2515 3.97628 3.98611 3.98587 3.98587 3.98587 3.98592 4.24727 0.376238
0.0198689 4.29984 4.01675 4.02705 4.02679 4.02679 4.02679 4.02239 4.29485 0.3881
0.0200676 4.34804 4.05693 4.0677 4.06742 4.06742 4.06742 4.05837 4.34237 0.400281
0.0202683 4.39619 4.09688 4.10814 4.10785 4.10785 4.10785 4.09533 4.38975 0.412782
0.020471 4.44444 4.13674 4.14852 4.14821 4.14821 4.14821 4.13427 4.43696 0.425607
0.0206757 4.49297 4.1767 4.18901 4.18868 4.18868 4.18868 4.17528 4.4842 0.438784
0.0208825 4.54194 4.21689 4.22975 4.2294 4.2294 4.2294 4.21734 4.53177 0.452352
0.0210913 4.59145 4.25738 4.27082 4.27045 4.27045 4.27045 4.25875 4.57992 0.466347
0.0213022 4.64146 4.29816 4.31221 4.31181 4.31181 4.31181 4.29786 4.62823 0.480739
0.0215152 4.69189 4.33912 4.35379 4.35337 4.35337 4.35337 4.33395 4.67559 0.49542
0.0217304 4.7426 4.38013 4.39546 4.39501 4.39501 4.39501 4.36793 4.72082 0.510267
0.0219477 4.79349 4.42109 4.4371 4.43663 4.43663 4.43663 4.40232 4.76425 0.525312
0.0221672 4.84456 4.46199 4.47872 4.47821 4.47821 4.47821 4.4405 4.80965 0.540976
0.0223888 4.89588 4.50291 4.52038 4.51984 4.51984 4.51984 4.48535 4.86152 0.557802
0.0226127 4.9476 4.54397 4.56221 4.56164 4.56164 4.56164 4.53777 4.92346 0.576264
0.0228388 4.99981 4.58528 4.60431 4.60371 4.60371 4.60371 4.5958 4.99173 0.595997
0.0230672 5.05251 4.62681 4.64667 4.64603 4.64603 4.64603 4.6548 5.05941 0.616221
0.0232979 5.10553 4.66842 4.68914 4.68847 4.68847 4.68847 4.70894 5.11929 0.636046
0.0235309 5.1586 4.70984 4.73146 4.73075 4.73075 4.73075 4.75345 5.16972 0.655222
0.0237662 5.21139 4.75079 4.77334 4.77258 4.77258 4.77258 4.78685 5.21488 0.674231
0.0240038 5.26372 4.79109 4.81459 4.81379 4.81379 4.81379 4.81187 5.25953 0.693671
0.0242439 5.31558 4.83074 4.85522 4.85438 4.85438 4.85438 4.83474 5.30706 0.714009
0.0244863 5.36718 4.86992 4.89543 4.89453 4.89453 4.89453 4.86262 5.35687 0.735197
0.0247312 5.41883 4.90893 4.93549 4.93454 4.93454 4.93454 4.9004 5.40768 0.757088
0.0249785 5.47079 4.94799 4.97564 4.97464 4.97464 4.97464 4.94837 5.45827 0.779531
0.0252283 5.52312 4.98716 5.01594 5.01489 5.01489 5.01489 5.00187 5.50861 0.802532
